"ETHNICITY","Ethnic group","YEAR","Year","SEX","Sex","AREA","Area","AGE","Age group",Value,Flags
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1374","Pongaroa","999999","Total people - age group",117,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1380","Ohau","999999","Total people - age group",435,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1381","Levin","999999","Total people - age group",15969,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1382","Other rural Horowhenua District","999999","Total people - age group",5658,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1383","Shannon","999999","Total people - age group",1362,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1388","Te Horo Beach","999999","Total people - age group",228,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1389","Otaki","999999","Total people - age group",3669,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1390","Waikanae","999999","Total people - age group",10560,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1391","Paraparaumu","999999","Total people - age group",25260,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1396","Other rural Porirua City","999999","Total people - age group",1125,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1397","Other rural Upper Hutt City","999999","Total people - age group",2166,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1398","Upper Hutt","999999","Total people - age group",36249,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1399","Lower Hutt","999999","Total people - age group",96759,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1400","Other rural Lower Hutt City","999999","Total people - age group",942,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1405","Castlepoint","999999","Total people - age group",27,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1406","Carterton","999999","Total people - age group",4140,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1407","Other rural Carterton District","999999","Total people - age group",2958,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1408","Featherston","999999","Total people - age group",2343,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1413","Three Kings Islands","999999","Total people - age group",0,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1414","Inlets Northland Region","999999","Total people - age group",0,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1415","Inlets Waikato Region","999999","Total people - age group",0,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1416","Inlet Taranaki Region","999999","Total people - age group",0,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2001","Collingwood","999999","Total people - age group",246,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2002","Parapara","999999","Total people - age group",96,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2003","Inlets Tasman District","999999","Total people - age group",3,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2004","Takaka","999999","Total people - age group",1152,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2005","Ligar Bay","999999","Total people - age group",114,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2010","Motueka","999999","Total people - age group",6621,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2011","Other rural Tasman District","999999","Total people - age group",14919,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2012","Tasman","999999","Total people - age group",345,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2013","Tapawera","999999","Total people - age group",327,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2018","Brightwater","999999","Total people - age group",1827,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2019","Hope","999999","Total people - age group",912,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2020","Richmond","999999","Total people - age group",12417,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2021","Inland water Tasman District","999999","Total people - age group",3,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2027","Rai Valley","999999","Total people - age group",141,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2028","Havelock","999999","Total people - age group",507,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2029","Inlets Marlborough District","999999","Total people - age group",45,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2030","Anakiwa","999999","Total people - age group",183,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2035","Renwick","999999","Total people - age group",1962,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2036","Tuamarina","999999","Total people - age group",267,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2037","Woodbourne","999999","Total people - age group",675,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2038","Spring Creek","999999","Total people - age group",573,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2043","Seddon","999999","Total people - age group",492,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2044","Inland water Marlborough District","999999","Total people - age group",0,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2045","Ward","999999","Total people - age group",102,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2046","Other rural Kaikoura District","999999","Total people - age group",1419,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2052","Ngakawau","999999","Total people - age group",234,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2053","Granity","999999","Total people - age group",189,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2054","Waimangaroa","999999","Total people - age group",225,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2055","Other rural Buller District","999999","Total people - age group",2847,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2060","Dobson","999999","Total people - age group",600,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2061","Ahaura","999999","Total people - age group",111,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2062","Other rural Grey District","999999","Total people - age group",2313,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2063","Moana","999999","Total people - age group",63,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2068","Hokitika","999999","Total people - age group",3078,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2069","Kaniere","999999","Total people - age group",288,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2070","Ross","999999","Total people - age group",291,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2071","Kumara","999999","Total people - age group",315,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2077","Inland water Hurunui District","999999","Total people - age group",0,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2078","Hanmer Springs","999999","Total people - age group",729,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2079","Other rural Hurunui District","999999","Total people - age group",5730,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2080","Rotherham","999999","Total people - age group",102,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2085","Waipara","999999","Total people - age group",258,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","2086","Amberley","999999","Total people - age group",1305,
